"","ST","NP","BDSP","BLD","RMSP","TEN","FINCP","FPARC","HHL","NOC","MV","VEH","YBL"
"1","01","01","02","01","06","1","","","1","00","5","1","07"
"2","01","05","03","02","06","1","000047500","1","1","00","6","1","06"
"3","01","03","02","06","04","3","000018000","2","1","02","1","1","06"
"4","01","04","03","02","05","1","000102900","2","1","01","3","3","07"
"5","01","03","03","04","05","3","000000670","1","1","01","3","2","06"
"6","01","01","03","01","06","1","","","1","00","5","1","07"
"7","01","03","05","02","12","1","000094500","4","1","00","3","4","05"
"8","01","02","04","02","06","1","000073940","4","1","00","5","2","07"
"9","01","00","03","01","04","","","","","","","","07"
"10","01","01","03","02","06","1","","","1","00","1","1","07"
"11","01","04","03","02","05","1","000139000","2","1","02","3","2","10"
"12","01","01","03","02","05","2","","","1","00","1","1","05"
"13","01","01","01","01","04","2","","","1","00","5","2","06"
"14","01","03","03","02","08","1","000043000","1","2","01","3","1","04"
"15","01","01","","","","","","","","","","",""
"16","01","03","03","02","07","1","000077440","4","1","00","4","3","06"
"17","01","02","04","02","17","1","000107000","4","1","00","2","2","12"
"18","01","02","03","02","05","2","000015910","4","1","00","7","1","01"
"19","01","02","03","02","06","1","000140000","4","1","00","4","3","05"
"20","01","02","03","02","05","1","000022000","2","1","01","4","1","04"
"21","01","02","03","02","06","1","000050550","4","1","00","5","1","05"
"22","01","02","03","02","06","2","000009900","4","1","00","5","2","07"
"23","01","01","01","04","03","3","","","1","00","3","0","05"
"24","01","02","03","02","05","1","000091000","4","1","00","6","3","06"
"25","01","02","04","02","06","1","000125000","4","1","00","3","2","05"
"26","01","08","03","02","06","1","000066000","2","1","04","5","4","06"
"27","01","01","03","01","04","2","","","1","00","4","1","08"
"28","01","03","03","02","08","1","000172000","4","1","00","1","4","01"
"29","01","03","03","02","10","2","000322000","4","1","00","6","4","01"
"30","01","04","03","02","08","3","000018800","2","1","03","1","0","04"
"31","01","02","04","02","09","2","000050800","4","1","00","7","1","03"
"32","01","02","03","02","04","1","000022100","4","1","00","3","0","06"
"33","01","03","04","02","07","1","000033800","2","1","01","7","3","03"
"34","01","02","02","02","05","3","000016000","4","1","00","7","1","01"
"35","01","01","","","","","","","","","","",""
"36","01","01","01","06","03","3","","","1","00","4","1","04"
"37","01","05","05","02","10","1","000128400","2","3","01","4","4","07"
"38","01","01","","","","","","","","","","",""
"39","01","01","01","02","06","1","","","1","00","6","1","04"
"40","01","02","01","02","04","1","000016050","4","1","00","5","1","07"
"41","01","01","01","09","02","3","","","1","00","4","0","07"
"42","01","02","02","02","03","1","000021200","4","1","00","5","1","07"
"43","01","03","03","02","06","1","000076000","2","1","01","4","3","01"
"44","01","01","02","02","05","3","","","1","00","7","1","05"
"45","01","02","03","02","05","4","000021500","4","1","00","6","2","02"
"46","01","02","03","02","07","2","000091100","4","1","00","5","2","02"
"47","01","02","03","02","08","2","000034400","4","1","00","4","2","05"
"48","01","01","02","02","05","2","","","1","00","6","0","03"
"49","01","01","01","07","04","3","","","1","00","1","1","08"
"50","01","02","02","02","06","1","000067500","4","1","00","3","2","02"
"51","01","00","03","02","09","","","","","","","","02"
"52","01","00","02","06","04","","","","","","","","03"
"53","01","05","04","02","07","1","000100000","3","1","03","3","4","10"
"54","01","01","03","02","10","2","","","1","00","7","1","06"
"55","01","00","02","01","04","","","","","","","","06"
"56","01","01","04","02","07","2","","","1","00","7","2","04"
"57","01","02","03","02","05","2","000025000","4","1","00","7","3","04"
"58","01","00","03","02","06","","","","","","","","03"
"59","01","01","","","","","","","","","","",""
"60","01","04","04","02","08","2","000051200","4","1","00","7","2","03"
"61","01","03","03","02","06","1","000074200","4","1","00","4","2","05"
"62","01","00","04","01","07","","","","","","","","07"
"63","01","02","03","02","04","3","000033000","2","1","01","3","1","07"
"64","01","00","02","02","05","","","","","","","","04"
"65","01","02","03","02","07","1","000094000","4","1","00","5","3","06"
"66","01","00","03","09","04","","","","","","","","07"
"67","01","03","03","02","06","1","000020100","2","1","01","5","1","07"
"68","01","01","03","02","06","2","","","1","00","7","3","04"
"69","01","02","03","02","06","1","000133000","4","1","00","5","2","07"
"70","01","01","01","06","03","3","","","1","00","3","0","05"
"71","01","04","04","02","08","1","000053000","2","1","01","5","3","07"
"72","01","00","03","02","05","","","","","","","","05"
"73","01","01","","","","","","","","","","",""
"74","01","01","03","02","05","1","","","1","00","2","1","06"
"75","01","01","","","","","","","","","","",""
"76","01","01","03","02","06","2","","","1","00","7","0","04"
"77","01","00","03","02","06","","","","","","","","05"
"78","01","02","04","02","06","1","000068000","4","1","00","2","2","07"
"79","01","01","02","01","03","4","","","1","00","6","1","05"
"80","01","02","02","07","04","3","000017200","4","1","00","1","2","05"
"81","01","01","","","","","","","","","","",""
"82","01","01","02","02","07","2","","","1","00","5","1","04"
"83","01","01","03","02","06","2","","","1","00","7","1","01"
"84","01","05","04","01","07","2","000008400","2","1","03","4","1","08"
"85","01","03","03","02","10","2","000117000","2","2","01","6","3","06"
"86","01","02","04","01","07","2","","","1","00","1","3","05"
"87","01","02","02","02","06","4","000028800","4","1","00","3","2","05"
"88","01","02","03","01","05","2","000020000","4","1","00","4","2","08"
"89","01","00","03","02","06","","","","","","","","05"
"90","01","01","","","","","","","","","","",""
"91","01","02","04","02","10","2","000034400","4","1","00","7","3","03"
"92","01","01","04","02","06","2","","","1","00","7","1","04"
"93","01","02","02","06","04","3","000025200","4","1","00","1","2","11"
"94","01","01","03","01","05","1","","","1","00","6","2","07"
"95","01","04","03","02","06","1","000035300","4","1","00","4","4","04"
"96","01","04","03","02","09","1","000082000","2","1","02","4","3","08"
"97","01","03","03","02","05","2","000041000","4","1","00","7","1","04"
